date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:11:45	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Apr%202017%2007:11:44%20GMT	http://s.tmimgcdn.com/img/pp-cstmz-serv2.jpg?af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/pp-cstmz-serv2312d.jpg	(from http://s.tmimgcdn.com/css/varnish.application.minified.css)
10:11:46	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Apr%202017%2007:11:45%20GMT	http://s.tmimgcdn.com/img/pp-cstmz-serv3.jpg?af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/pp-cstmz-serv3312d.jpg	(from http://s.tmimgcdn.com/css/varnish.application.minified.css)
10:11:47	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Apr%202017%2007:11:46%20GMT	http://s.tmimgcdn.com/img/pp-cstmz-serv4.jpg?af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/pp-cstmz-serv4312d.jpg	(from http://s.tmimgcdn.com/css/varnish.application.minified.css)
10:11:47	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Apr%202017%2007:11:46%20GMT	http://s.tmimgcdn.com/img/pp-cstmz-serv5.jpg?af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/pp-cstmz-serv5312d.jpg	(from http://s.tmimgcdn.com/css/varnish.application.minified.css)
10:11:48	52/52	---M--	200	added ('OK')	image/gif	etag:%225458a905-34%22	http://s.tmimgcdn.com/img/line-bg.gif?af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/line-bg312d.gif	(from http://s.tmimgcdn.com/css/varnish.application.minified.css)
10:11:48	1117/1117	---M--	200	added ('OK')	image/png	etag:%2254db0fe8-45d%22	http://s.tmimgcdn.com/img/sprite2.png?af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/sprite2312d.png	(from http://s.tmimgcdn.com/css/varnish.application.minified.css)
10:12:24	227291/227291	---M--	200	added ('OK')	image/jpeg	etag:%2254f871bf-377db%22	http://s.tmimgcdn.com/img/landing/videoheader-moto-cms-3.jpg?af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/landing/videoheader-moto-cms-3312d.jpg	(from http://s.tmimgcdn.com/css/varnish.application.minified.css)
10:12:41	308178/308178	---M--	200	added ('OK')	image/jpeg	etag:%2255374732-4b3d2%22	http://s.tmimgcdn.com/img/landing/videoheader-magento.jpg?af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/landing/videoheader-magento312d.jpg	(from http://s.tmimgcdn.com/css/varnish.application.minified.css)
10:12:46	134685/134685	---M--	200	added ('OK')	image/jpeg	etag:%2255486e33-20e1d%22	http://s.tmimgcdn.com/img/landing/videoheader-joomla.jpg?af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/landing/videoheader-joomla312d.jpg	(from http://s.tmimgcdn.com/css/varnish.application.minified.css)
10:12:47	420620/420620	---M--	200	added ('OK')	image/jpeg	etag:%2254ec9449-66b0c%22	http://s.tmimgcdn.com/img/landing/videoheader-wordpress.jpg?af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/landing/videoheader-wordpress312d.jpg	(from http://s.tmimgcdn.com/css/varnish.application.minified.css)
10:12:47	1275/1275	---M--	200	added ('OK')	image/png	etag:%2255ae4cd8-4fb%22	http://s.tmimgcdn.com/img/wp/phone-icon.png	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/wp/phone-icon.png	(from http://s.tmimgcdn.com/css/varnish.application.minified.css)
10:12:50	10503/10503	---M--	200	added ('OK')	image/png	etag:%225458a905-2907%22	http://s.tmimgcdn.com/img/vacancy-sprites.png?af8baad	E:/My%20Web%20Sites/spare/s.tmimgcdn.com/img/vacancy-sprites312d.png	(from http://s.tmimgcdn.com/css/varnish.application.minified.css)
